Name,Card type,Cost,Upgraded cost,Map,Description,Upgraded description
Hammer Thrust,Melee,NA,NA,Northern Lands,Deals 7 damage. Critical hit if you have no ammo remaining.,Deals 10 damage. Critical hit if you have no ammo remaining.
Ice Piercer,Melee,NA,NA,Northern Lands,Chance. 75%: Deals 6 damage. 25%: Deals 15 damage.,Chance. 75%: Deals 9 damage. 25%: Deals 20 damage.
Back from the Brink,Melee,NA,NA,Northern Lands,Deals 6 damage. Deals 6 damage 2 times instead if you have no other attack cards in hand.,Deals 9 damage. Deals 9 damage 2 times instead if you have no other attack cards in hand.
Probe,Melee,NA,NA,Northern Lands,Deals 6 damage. Add 1 Heavy Hack to your hand if this kills an enemy. Removed.,Deals 9 damage. Add 1 upgraded Heavy Hack to your hand if this kills an enemy. Removed.
Heavy Hack,Melee,NA,NA,Northern Lands,Deals 12 damage.,Deals 15 damage.
Mountain Hammer,Melee,NA,NA,Northern Lands,Deals 15 damage. This card deals -3 damage this battle.,Deals 18 damage. This card deals -3 damage this battle.
Harpoon Thrust,Melee,NA,NA,Northern Lands,Deals 7 damage. Choose a card from your discard pile and put it on the top of your draw pile.,Deals 10 damage. Choose a card from your discard pile and put it on the top of your draw pile.
Heavy Fist,Melee,NA,NA,Northern Lands,"Deals 7 damage. If all armor on target is removed this way, Stun the enemy.","Deals 10 damage. If all armor on target is removed this way, Stun the enemy."
Vagabond's Trick,Ranged,1 ammo,1 ammo,Northern Lands,Deals 8 damage. Always hits when Drunk.,Deals 11 damage. Always hits when Drunk.
Snowball,Ranged,1 ammo,1 ammo,Northern Lands,"Deals 6 damage. If ammo is at 0 after using, reload 2.","Deals 9 damage. If ammo is at 0 after using, reload 2."
Icebreaker,Ranged,3 ammo,3 ammo,Northern Lands,"Deals 18 damage. On critical hit, -1 ammo cost to this card for the rest of battle.","Deals 22 damage. On critical hit, -1 ammo cost to this card for the rest of battle."
Ice Spike,Ranged,? ammo,? ammo,Northern Lands,"Deals 12 damage. Costs 0-3 ammo, fixed when add to hand.","Deals 15 damage. Costs 0-3 ammo, fixed when add to hand."
Frozen Shot,Ranged,1 ammo,1 ammo,Northern Lands,Deals 6 damage. 50% Lifesteal on critical hit.,Deals 9 damage. 50% Lifesteal on critical hit.
Ice Arrow,Ranged,1 ammo,1 ammo,Northern Lands,"Deals 7 damage. If an enemy is killed this way, permanently increase max HP by 1. Removed.","Deals 10 damage. If an enemy is killed this way, permanently increase max HP by 1. Removed."
Ice Missile,Ranged,1 ammo,1 ammo,Northern Lands,"Deals 6 damage. If this card is discarded by another card or relic, return it to hand and increase its damage by 3 for the rest of battle.","Deals 8 damage. If this card is discarded by another card or relic, return it to hand and increase its damage by 3 for the rest of battle."
Duel,Ranged,2 ammo,2 ammo,Northern Lands,Deals 13 damage. Crit if there is exactly 1 enemy.,Deals 17 damage. Crit if there is exactly 1 enemy.
Snow Barrage,Ranged,2 ammo,2 ammo,Northern Lands,"Deals 7 damage to a random enemy 2 times. If the 2nd attack hits the same target, the 2nd hit will be critical.","Deals 10 damage to a random enemy 2 times. If the 2nd attack hits the same target, the 2nd hit will be critical."
Snow Cannon,Ranged,4 ammo,4 ammo,Northern Lands,Deals 18 damage. -1 ammo cost per enemy alive.,Deals 22 damage. -1 ammo cost per enemy alive.
Dry Ammo,Skill,NA,NA,Northern Lands,Reload 1 and remove your condition.,Reload 2 and remove your condition.
Bloody Shot,Skill,-3 health,-1 health,Northern Lands,Lose 3 HP and reload 1. Return this to your hand. +1 HP loss from this card this turn.,Lose 1 HP and reload 1. Return this to your hand. +1 HP loss from this card this turn.
Painful Decision,Skill,-? health,-? Health,Northern Lands,Lose 50% of current HP. Reload to max and draw to max hand size. Removed.,Lose 50% of current HP. Reload to max and draw to max hand size.
Wet Ammo,Skill,NA,NA,Northern Lands,Reload 2. Add a Rotted Wood to your draw pile.,Reload 3. Add a Rotted Wood to your draw pile.
Grab Shield,Skill,1 ammo,1 ammo,Northern Lands,Target loses 50% armor and you gain that much armor. Removed.,Target loses 50% armor and you gain that much armor.
Battered Buckler,Skill,1 ammo,1 ammo,Northern Lands,Gain 10 armor and 2 Fragile.,Gain 13 armor and 2 Fragile.
Hull Shield,Skill,1 ammo,1 ammo,Northern Lands,"Gain 15 armor. For the rest of battle, lose 3 armor at the start of each turn.","Gain 18 armor. For the rest of battle, lose 3 armor at the start of each turn."
Aggressive Defense,Skill,1 ammo,1 ammo,Northern Lands,Gain 5 armor. Gain 1 armor whenever you use an attack card this turn.,Gain 7 armor. Gain 2 armor whenever you use an attack card this turn.
Ice Shield,Skill,1 ammo,NA,Northern Lands,Lose 50% of current HP. Gain up to the max amount of armor (max HP). Removed.,Lose 50% of current HP. Gain up to the max amount of armor (max HP). Removed.
Cold Front,Skill,1 ammo,1 ammo,Northern Lands,Deals 6 damage. Deals 6 damage 3 times if you are Drunk.,Deals 8 damage. Deals 8 damage 3 times if you are Drunk.
Hail,Skill,2 ammo,2 ammo,Northern Lands,Deals 8 damage to all enemies. Deals 24 damage instead if there is exactly 1 enemy.,Deals 10 damage to all enemies. Deals 30 damage instead if there is exactly 1 enemy.
Blizzard,Skill,1 ammo,1 ammo,Northern Lands,Deals 12 damage. Add 2 Blizzard to your hand if this kills an enemy. Removed.,Deals 15 damage. Add 2 upgraded Blizzard to your hand if this kills an enemy. Removed.
Ice Blast,Skill,1 ammo,1 ammo,Northern Lands,"Deals 8 damage. If this kills an enemy, reload 3.","Deals 11 damage. If this kills an enemy, reload 3."
Recover,Skill,NA,NA,Northern Lands,Adds a random card from your discard pile to your hand. Removed.,Adds 2 random card from your discard pile to your hand. Removed.
Stockpile,Skill,4 ammo,3 ammo,Northern Lands,Draw 3. -1 ammo cost per enemy alive.,Draw 3. -1 ammo cost per enemy alive.
Gambler's Fallacy,Skill,2 ammo,2 ammo,Northern Lands,Can only be used when there are no other cards in hand. Draw 4.,Can only be used when there are no other cards in hand. Draw to max hand size.
Emergency Rations,Skill,1 ammo,1 ammo,Northern Lands,"Until the start of your next turn, whenever you lose armor, you heal equal to the amount of armor lost. Removed.","Until the start of your next turn, whenever you lose armor, you heal equal to the amount of armor lost."
Reap,Skill,1 ammo,NA,Northern Lands,All attacks have 25% Lifesteal this turn. Removed.,All attacks have 25% Lifesteal this turn. Removed.
Snow Boots,Skill,1 ammo,1 ammo,Northern Lands,Gain 1 Dodge for each enemy that attempts to attack. Removed.,Gain 1 Dodge for each enemy that attempts to attack.
Ice Crystal,Skill,NA,NA,Northern Lands,Unplayable. All attacks apply 1 Injury while this is in your hand.,Unplayable. All attacks apply 2 Injury while this is in your hand.
Binge Drinking,Skill,1 ammo,1 ammo,Northern Lands,Gain 2 Drunk. Heal 3 whenever you deal a critical hit this turn.,Gain 3 Drunk. Heal 4 whenever you deal a critical hit this turn.
Tank Killer,Skill,2 ammo,2 ammo,Northern Lands,Apply 1 Mark. Apply 1 additional Mark if target has armor. Removed.,Apply 1 Mark. Apply 1 additional Mark if target has armor.
Crystallize,Skill,X ammo,X ammo,Northern Lands,Lose all ammo. Apply 5 x X Injury.,Lose all ammo. Apply 7 x X Injury.
Sneak,Skill,1 ammo,NA,Northern Lands,"If enemy attempts to attack, Stun the enemy. Removed.","If enemy attempts to attack, Stun the enemy. Removed."
Charge!,Skill,NA,NA,Northern Lands,Unplayable. All attacks have a 25% chance to crit when this is in your hand.,Unplayable. All attacks have a 40% chance to crit when this is in your hand.
Freeze Weapon,Skill,3 ammo,2 ammo,Northern Lands,All enemies' attack becomes 0 for 1 turn. Removed.,All enemies' attack becomes 0 for 1 turn. Removed.
Break Shield,Skill,3 ammo,2 ammo,Northern Lands,You gain +1 attack damage for each enemy with armor. All enemies lose all armor. Removed.,You gain +1 attack damage for each enemy with armor. All enemies lose all armor. Removed.
Bluff,Skill,1 ammo,1 ammo,Northern Lands,"This turn, you gain +5 attack damage, and -1 attack damage after each attack.","This turn, you gain +6 attack damage, and -1 attack damage after each attack."
Unfair Exchange,Skill,NA,NA,Northern Lands,"Remove 1 card from your hand, then add 2 random cards of the same type to your hand.","Remove 1 card from your hand, then add 2 upgraded random cards of the same type to your hand."
Aid,Skill,2 ammo,1 ammo,Northern Lands,Add 3 random cards with Removed to your hand.,Add 3 random cards with Removed to your hand.
Frozen Banana,Skill,1 ammo,1 ammo,Northern Lands,"Heal 5, then heal 5 more if you are Cold. Removed.","Heal 8, then heal 8 more if you are Cold. Removed."
Quality Emphasis,Skill,1 ammo,NA,Northern Lands,Consumable. Upgrade all cards in deck.,Consumable. Upgrade all cards in deck.
Ice Cyclone,Skill,NA,NA,Northern Lands,"Consumable. Deals 6 damage. If an enemy is killed this way, gain 30 Coins.","Consumable. Deals 9 damage. If an enemy is killed this way, gain 50 Coins."
Downgrade,Curse,NA,NA,Northern Lands,Unplayable. Downgrade a random card in your hand when you draw this.,NA
Ice Thorn,Curse,NA,NA,Northern Lands,Can be played. Gain 3 Injury. Removed.,NA
Frost Seal,Curse,NA,NA,Northern Lands,Unplayable. Cannot gain armor while this is in your hand.,NA
Delayed Mark,Curse,NA,NA,Northern Lands,Unplayable. Gain 1 Mark at the end of your turn.,NA
Bayonet Lunge,Melee,NA,NA,Eastern Seas,Deals 6 damage. Deals 12 damage instead if your previous card was a ranged attack card.,Deals 9 damage. Deals 15 damage instead if your previous card was a ranged attack card.
Blackjack,Melee,NA,NA,Eastern Seas,Deals 7 damage. Crit if there is exactly 1 enemy.,Deals 10 damage. Crit if there is exactly 1 enemy.
Plumed Spear,Melee,NA,NA,Eastern Seas,Deals 6 damage. Deals 20 damage instead if you have 0 cards in your draw pile.,Deals 9 damage. Deals 25 damage instead if you have 0 cards in your draw pile.
Armor Penetration,Melee,NA,NA,Eastern Seas,Deals 7 damage. Critical hit to enemies with armor. Penetration.,Deals 10 damage. Critical hit to enemies with armor. Penetration.
Exorcist's Blade,Melee,NA,NA,Eastern Seas,Deals 6 damage. 50% Lifesteal on non-human enemy.,Deals 9 damage. 50% Lifesteal on non-human enemy.
Shoulder Bash,Melee,NA,NA,Eastern Seas,Deals 8 damage. Deals critical hit and applies 1 Rage to enemy without condition.,Deals 11 damage. Deals critical hit and applies 1 Rage to enemy without condition.
Drunken Fist,Melee,NA,NA,Eastern Seas,"Deals 2 damage 3 times. If you are Drunk, each hit increases the enxt attack's damage by 1. Always hits if you have 1-2 Drunk.","Deals 2 damage 4 times. If you are Drunk, each hit increases the enxt attack's damage by 1. Always hits if you have 1-2 Drunk."
Furious Blow,Melee,NA,NA,Eastern Seas,Deals 6 damage + 2 damage per Rage that you have.,Deals 9 damage + 2 damage per Rage that you have.
Spiked Hammer,Melee,NA,NA,Eastern Seas,Deals 6 damage. Critical hit to Injured enemies. Draw 1 card if enemy has 5 or more Injury.,Deals 9 damage. Critical hit to Injured enemies. Draw 1 card if enemy has 5 or more Injury.
Throw Kunai,Melee,NA,NA,Eastern Seas,Deals 12 damage to the furthest enemy.,Deals 15 damage to the furthest enemy.
Bayonet Shot,Ranged,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. Deals 12 damage instead if your previous card was a melee attack card.,Deals 9 damage. Deals 15 damage instead if your previous card was a melee attack card.
Surprise,Ranged,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. Stun the enemy if target is at full HP.,Deals 9 damage. Stun the enemy if target is at full HP.
Exorcist's Shot,Ranged,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. This card's damage is increased by 1 this battle. +4 damage if target is not human.,Deals 9 damage. This card's damage is increased by 1 this battle. +5 damage if target is not human.
Chraged Shot,Ranged,1 ammo,1 ammo,Eastern Seas,"Deals 5 damage. At the end of turn, this card's damage is increased by 5 if it is in your hand (max 50). Damage reset upon use. Stay.","Deals 7 damage. At the end of turn, this card's damage is increased by 7 if it is in your hand (max 70). Damage reset upon use. Stay."
Spiked Bomb,Ranged,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. Applies 4 Injury on enemies with armor.,Deals 9 damage. Applies 6 Injury on enemies with armor.
Shifting Shot,Ranged,2 ammo,2 ammo,Eastern Seas,Discard a card. Deals 12 damage and causes additional effect based on the type of card discarded. Attack: Deals critical hit. Skill: Gain 50% Lifesteal. Curse: Apply 5 Injury.,Discard a card. Deals 16 damage and causes additional effect based on the type of card discarded. Attack: Deals critical hit. Skill: Gain 50% Lifesteal. Curse: Apply 5 Injury.
Power Cannon,Ranged,2 ammo,2 ammo,Eastern Seas,Deals 10 damage. Crit chance equal to your remaining HP %.,Deals 13 damage. Crit chance equal to your remaining HP %.
Shuriken Rain,Ranged,2 ammo,2 ammo,Eastern Seas,Deals 9 damage to all enemies. Critical hit to enemy with lowest HP.,Deals 12 damage to all enemies. Critical hit to enemy with lowest HP.
Airstrike,Ranged,3 ammo,3 ammo,Eastern Seas,Deals 18 damage. -1 ammo cost this battle if target is a human.,Deals 22 damage. -1 ammo cost this battle if target is a human.
Barrel Bundle,Ranged,3 ammo,3 ammo,Eastern Seas,Deals 36 damage. 25% chance to miss.,Deals 40 damage. 20% chance to miss.
Tactical Stockpile,Skill,NA,NA,Eastern Seas,Reload 2 and put a card from your hand on top of your draw pile.,Reload 3 and put a card from your hand on top of your draw pile.
Forced Reload,Skill,NA,NA,Eastern Seas,Can only be used if you have armor. Lose all armor and reload 3.,Can only be used if you have armor. Lose 50% armor and reload 3.
Last Shell,Skill,NA,NA,Eastern Seas,Reload to max and end the turn. Removed.,Reload to max and end the turn.
Plunder Ammo,Skill,3 ammo,2 ammo,Eastern Seas,Reload 2 at the start of each turn this battle. Removed.,Reload 2 at the start of each turn this battle. Removed.
Stand Together,Skill,1 ammo,1 ammo,Eastern Seas,Gain 12 armor. All enemies gain 5 armor.,Gain 15 armor. All enemies gain 5 armor.
Shield Stockpile,Skill,3 ammo,3 ammo,Eastern Seas,Gain 5 armor. Gain 5 armor at the start of each turn this battle. Removed.,Gain 6 armor. Gain 6 armor at the start of each turn this battle. Removed.
Battered Fence,Skill,1 ammo,1 ammo,Eastern Seas,Gain 9 armor. All enemy attacks have Penetration until the start of your next turn.,Gain 12 armor. All enemy attacks have Penetration until the start of your next turn.
Shield Feint,Skill,2 ammo,2 ammo,Eastern Seas,Gain 9 armor. Reload 2 the next time you lose all armor.,Gain 12 armor. Reload 2 the next time you lose all armor.
Assault Horn,Skill,1 ammo,NA,Eastern Seas,"For the rest of this battle, you gain +1 attack damage for each enemy with higher HP than you. Removed.","For the rest of this battle, you gain +1 attack damage for each enemy with higher HP than you. Removed."
Sacrifice,Skill,1 ammo,NA,Eastern Seas,Downgrade a card in your hand. +2 damage for the rest of this battle. +1 damage instead if you have no cards in hand available to downgrade.,Downgrade a card in your hand. +2 damage for the rest of this battle. +1 damage instead if you have no cards in hand available to downgrade.
Forced Knowledge,Skill,1 ammo,1 ammo,Eastern Seas,Can only be used if you have armor. Lose all armor and draw 3 cards.,Can only be used if you have armor. Lose 50% armor and draw 3 cards.
Exotic Present,Skill,1 ammo,1 ammo,Eastern Seas,"Draw 1 card, then draw 1 more card for each non-human enemy.","Draw 2 cards, then draw 1 more card for each non-human enemy."
Tactical Combination,Skill,1 ammo,1 ammo,Eastern Seas,Adds 1 random skill card and 1 random attack card from your draw pile to your hand. Removed.,Adds 1 random skill card and 1 random attack card from your draw pile to your hand.
Watch and Wait,Skill,3 ammo,3 ammo,Eastern Seas,"Draw 4 cards. At the end of turn, this card's ammo cost is reduced by 1 if it is in your hand. Ammo cost reset upon use. Stay.","Draw 5 cards. At the end of turn, this card's ammo cost is reduced by 1 if it is in your hand. Ammo cost reset upon use. Stay."
Quick Upgrade,Skill,1 ammo,NA,Eastern Seas,"Draw 1 card, then upgrade it.","Draw 1 card, then upgrade it."
Spoiles of the Hunt,Skill,2 ammo,2 ammo,Eastern Seas,"Heal 10, -1 ammo cost if your HP is below 50%.","Heal 13, -1 ammo cost if your HP is below 50%."
Eat Urchin,Skill,1 ammo,1 ammo,Eastern Seas,"Heal 10 and apply 3 Injury. If target is an enemy, apply 6 Injury instead.","Heal 12 and apply 3 Injury. If target is an enemy, apply 8 Injury instead."
Eat Banana,Skill,1 ammo,1 ammo,Eastern Seas,Heal 9 at the end of battle. Removed.,Heal 12 at the end of battle. Removed.
Staff Sweep,Skill,2 ammo,1 ammo,Eastern Seas,Stun all enemies without armor. Removed.,Stun all enemies without armor. Removed.
Explosive Armor,Skill,2 ammo,2 ammo,Eastern Seas,Deals damage to all enemies equal to your armor. Double damage to enemies with armor. Lose 5 armor.,Deals damage to all enemies equal to your armor. Double damage to enemies with armor.
Risk and Reward,Skill,1 ammo,1 ammo,Eastern Seas,Draw 2 cards. End the turn if no attack cards are drawn.,Draw 3 card. End the turn if no attack cards are drawn.
Divine Favor,Skill,2 ammo,2 ammo,Eastern Seas,Adds 1 random Consumable card to your hand. Removed.,Adds 1 random upgraded Consumable card to your hand. Removed.
Ghostfire,Skill,1 ammo,1 ammo,Eastern Seas,Deals 8 damage and applies 1 random negative condition.,Deals 11 damage and applies 2 random negative condition.
Insulting Trap,Skill,1 ammo,1 ammo,Eastern Seas,"Applies 4 Injury. If enemy has Injury, applies 8 Injury instead.","Applies 6 Injury. If enemy has Injury, applies 10 Injury instead."
Impervious Shell,Skill,NA,NA,Eastern Seas,Gain 1 Immunity per enemy.,Gain 2 Immunity per enemy.
War Drum,Skill,NA,NA,Eastern Seas,"Gain 1 Rage, or apply 1 Weakened on the enemy.","Gain 2 Rage, or apply 2 Weakened on the enemy."
Flashbang,Skill,NA,NA,Eastern Seas,Deals 8 damage toa ll non-human enemies and applies 1 Weakened.,Deals 10 damage toa ll non-human enemies and applies 1 Weakened.
Banana Boomerang,Skill,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. Heal 6 to you if target is human.,Deals 9 damage. Heal 9 to you if target is human.
Flash of Lightning,Skill,1 ammo,1 ammo,Eastern Seas,Deals 6 damage. Deals 12 damage instead if target is at full HP. Target max HP reduced to its current HP.,Deals 9 damage. Deals 18 damage instead if target is at full HP. Target max HP reduced to its current HP.
Killing Blow,Skill,1 ammo,1 ammo,Eastern Seas,Kill an enemy with less HP than you. Max HP reduced by 2. Removed.,Kill an enemy with less HP than you. Max HP reduced by 1. Removed.
Thorny Banana,Skill,1 ammo,1 ammo,Eastern Seas,Deals damage equal to target's Injury. You heal an equal amount. Removed.,Deals damage equal to target's Injury. You heal an equal amount.
Artisan's Blessing,Skill,1 ammo,1 ammo,Eastern Seas,Upgrade all cards in your hand. Draw 1 card. Removed.,Upgrade all cards in your hand. Draw 1 card.
Storm,Skill,1 ammo,1 ammo,Eastern Seas,Consumable. Can only be used if there are 2 or more enemies. Kill the enemy with the lowest HP. Cannot kill enemies with more than 100 HP.,Consumable. Can only be used if there are 2 or more enemies. Kill the enemy with the lowest HP. Cannot kill enemies with more than 150 HP.
Impregnable,Skill,1 ammo,NA,Eastern Seas,Consumable. Gain up to the max amount of armor (max HP).,Consumable. Gain up to the max amount of armor (max HP).
Execution,Curse,NA,NA,Eastern Seas,Unplayable. Lose 5 HP when discarded by another card or relic.,NA
Stolen Banana,Curse,NA,NA,Eastern Seas,Unplayable. All enemies heal 5 HP when this is drawn.,NA
Enemy Reinforcements,Curse,NA,NA,Eastern Seas,Unplayable. All enemies gain 2 Rage when this is drawn.,NA
Unwelcome Present,Curse,NA,NA,Eastern Seas,Can be played. Choose a card in your hand and return it to your draw pile. Take 10 damage if you have no other cards in hand. Removed.,NA
Impaled,Curse,2 ammo,NA,Eastern Seas,"Can be played. When this is in your hand, all enemies' attacks always hit. Stay. Removed.",NA